name,min,max,action,args
SEG_6_45,93,115,CAM_5044,13
SEG_6_45,116,142,CAM_5044,12
SEG_6_45,143,167,CAM_5044,11
SEG_7_4,1,7,CAM_5061,12
SEG_7_4,8,12,CAM_5063,11
SEG_7_3,16,28,CAM_5063,12
SEG_7_4,13,15,CAM_5063,12
SEG_7_3,29,35,CAM_5063,13
SEG_7_2,56,73,CAM_5063,14
SEG_7_3,36,55,CAM_5063,14
SEG_7_1,109,118,CAM_5063,15
SEG_7_2,74,108,CAM_5063,15
SEG_7_1,119,121,CAM_5062,11
SEG_7_1,122,168,CAM_5062,12
SEG_7_5,1,40,CAM_5061,11
SEG_7_6,41,80,CAM_5061,11
SEG_7_10,25,28,CAM_5060,11
SEG_7_11,1,24,CAM_5060,11
SEG_7_10,29,40,CAM_5060,12
SEG_7_10,41,58,CAM_5060,13
SEG_7_9,66,87,CAM_5060,14
SEG_7_10,59,65,CAM_5060,14
SEG_7_9,88,102,CAM_5060,15
SEG_7_9,103,114,CAM_5060,16
SEG_7_8,115,116,CAM_5060,17
SEG_7_8,117,118,CAM_5060,18
SEG_7_7,121,122,CAM_5060,19
SEG_7_8,119,120,CAM_5060,19
SEG_7_7,123,125,CAM_5060,20
SEG_7_7,126,132,CAM_5060,21
SEG_7_12,1,15,CAM_5059,26
SEG_7_13,16,20,CAM_5059,26
SEG_7_13,21,37,CAM_5059,25
SEG_7_13,38,51,CAM_5059,24
SEG_7_13,52,62,CAM_5059,23
SEG_7_13,63,67,CAM_5059,22
SEG_7_14,68,69,CAM_5059,21
SEG_7_14,70,70,CAM_5059,20
SEG_7_14,71,71,CAM_5059,19
SEG_7_14,72,75,CAM_5059,18
SEG_7_14,76,82,CAM_5059,17
SEG_7_14,83,94,CAM_5059,16
SEG_7_14,95,114,CAM_5059,15
SEG_7_14,115,118,CAM_5058,18
SEG_7_15,119,140,CAM_5058,18
SEG_7_15,141,155,CAM_5059,14
SEG_7_15,156,160,CAM_5059,13
SEG_8_3,11,12,CAM_5206,12
SEG_8_4,1,10,CAM_5206,12
SEG_8_3,13,25,CAM_5206,11
SEG_8_3,26,27,CAM_5207,19
SEG_8_3,28,28,CAM_5207,18
SEG_8_3,29,31,CAM_5207,17
SEG_8_3,32,37,CAM_5207,16
SEG_8_2,39,50,CAM_5207,15
SEG_8_3,38,38,CAM_5207,15
SEG_8_2,51,64,CAM_5207,14
SEG_8_2,65,89,CAM_5207,13
SEG_8_2,90,121,CAM_5207,12
SEG_8_1,122,167,CAM_5207,11
SEG_8_5,1,16,CAM_5206,13
SEG_8_5,17,29,CAM_5206,14
SEG_8_5,30,47,CAM_5206,15
SEG_8_6,48,65,CAM_5206,15
SEG_8_6,66,68,CAM_5206,16
SEG_8_7,69,81,CAM_5206,16
SEG_8_8,82,88,CAM_5206,16
SEG_8_9,89,89,CAM_5206,16
SEG_8_9,90,116,CAM_5205,11
SEG_8_9,117,144,CAM_5205,12
SEG_8_11,1,52,CAM_5203,11
SEG_8_11,53,78,CAM_5204,14
SEG_8_11,79,92,CAM_5204,13
SEG_8_11,93,106,CAM_5204,12
SEG_8_11,107,112,CAM_5204,11
SEG_8_11,113,116,CAM_5205,18
SEG_8_11,117,119,CAM_5205,17
SEG_8_11,120,122,CAM_5205,16
SEG_8_10,127,133,CAM_5205,15
SEG_8_11,123,126,CAM_5205,15
SEG_8_10,134,146,CAM_5205,14
SEG_8_10,147,175,CAM_5205,13
SEG_8_12,1,32,CAM_5203,12
SEG_8_12,33,59,CAM_5203,13
SEG_8_12,60,86,CAM_5203,14
SEG_8_12,87,99,CAM_5203,15
SEG_8_12,100,102,CAM_5202,1
SEG_8_12,103,104,CAM_5202,12
SEG_8_12,105,105,CAM_5202,13
SEG_8_13,106,107,CAM_5202,13
SEG_8_13,108,113,CAM_5202,14
SEG_8_13,114,126,CAM_5202,15
SEG_8_13,127,150,CAM_5202,16
SEG_8_14,151,164,CAM_5202,16
SEG_8_18,1,29,CAM_5067,14
SEG_8_18,30,35,CAM_5067,15
SEG_8_18,36,40,CAM_5067,16
SEG_8_18,41,42,CAM_5067,17
SEG_8_18,43,43,CAM_5067,18
SEG_8_18,44,44,CAM_5067,19
SEG_8_18,45,45,CAM_5067,20
SEG_8_16,50,52,CAM_5067,24
SEG_8_17,46,49,CAM_5067,24
SEG_8_16,53,65,CAM_5067,23
SEG_8_16,66,92,CAM_5067,22
SEG_8_15,128,133,CAM_5067,21
SEG_8_16,93,127,CAM_5067,21
SEG_8_15,134,146,CAM_5201,12
SEG_8_15,147,176,CAM_5201,11
SEG_8_19,1,11,CAM_5067,13
SEG_8_20,12,40,CAM_5067,13
SEG_8_20,41,64,CAM_5067,12
SEG_8_21,65,88,CAM_5067,12
SEG_8_21,89,105,CAM_5067,11
SEG_8_21,106,118,CAM_5066,19
